Timestamp,PPA:8,PPA:5
1990-03-20 11:47:50.043330,133.494148616954,299693.72032368
1990-03-20 11:47:50.043660,133.085048985957,299601.936337079
1990-03-20 11:47:50.044000,132.716880790721,299655.074974986
1990-03-20 11:47:50.044330,132.310319465329,299521.004262065
1990-03-20 11:47:50.044660,132.053700068603,299658.195585527
1990-03-20 11:47:50.045000,131.623710575643,299573.341589113
1990-03-20 11:47:50.045330,131.225110590639,299618.963704615
1990-03-20 11:47:50.045660,130.860503346049,299715.1052314
1990-03-20 11:47:50.046000,130.444224671246,299671.322509984
1990-03-20 11:47:50.046330,130.129669624728,299737.215511928
1990-03-20 11:47:50.046660,129.717135858829,299774.799652239
1990-03-20 11:47:50.047000,129.379635313299,299698.29655015
1990-03-20 11:47:50.047330,128.968045811637,299637.694214656
1990-03-20 11:47:50.047660,128.611766138564,299665.149565922
1990-03-20 11:47:50.048000,128.173980438623,299545.910330837
1990-03-20 11:47:50.048330,127.798143512963,299473.815622714
1990-03-20 11:47:50.048660,127.340922903211,299292.970109954
1990-03-20 11:47:50.049000,126.979822925669,299323.810937098
1990-03-20 11:47:50.049330,126.664326792126,299404.959947298
1990-03-20 11:47:50.049660,126.218944930145,299369.361301095
1990-03-20 11:47:50.050000,125.844905584558,299448.225753015
1990-03-20 11:47:50.050330,125.528316906243,299418.964878489
1990-03-20 11:47:50.050660,125.126301175138,299353.150236191
1990-03-20 11:47:50.051000,124.662492366509,299344.36633476
1990-03-20 11:47:50.051330,124.370876320445,299268.643925822
1990-03-20 11:47:50.051660,123.952805994836,299422.676380345
1990-03-20 11:47:50.052000,123.535036902661,299394.263722641
1990-03-20 11:47:50.052330,123.249046662459,299669.686626187
1990-03-20 11:47:50.052660,122.858952948142,299583.770374938
1990-03-20 11:47:50.053000,122.527087761752,299689.527841869
1990-03-20 11:47:50.053330,122.118753628168,299673.269108677
1990-03-20 11:47:50.053660,121.742624780029,299797.117668948
1990-03-20 11:47:50.054000,121.336249730197,299713.449280563
1990-03-20 11:47:50.054330,121.018954761156,299636.165796913
1990-03-20 11:47:50.054660,120.567173543255,299276.104165833
1990-03-20 11:47:50.055000,120.091678907531,299266.953983278
1990-03-20 11:47:50.055330,119.784215852594,299626.477173524
1990-03-20 11:47:50.055660,119.330424906454,299647.569331816
1990-03-20 11:47:50.056000,119.010021675616,299726.428603436
1990-03-20 11:47:50.056330,118.512632539462,299683.390811894
1990-03-20 11:47:50.056660,118.142377800398,299613.226407451
1990-03-20 11:47:50.057000,117.752808134847,299598.323546587
1990-03-20 11:47:50.057330,117.32739689538,299517.204573663
1990-03-20 11:47:50.057660,116.840305945544,299550.681827409
1990-03-20 11:47:50.058000,116.478245872123,299570.558351236
1990-03-20 11:47:50.058330,116.124827778406,299679.178892656
1990-03-20 11:47:50.058660,115.695268507465,299728.349462986
1990-03-20 11:47:50.059000,115.335371618233,299696.788748615
1990-03-20 11:47:50.059330,114.943705687061,299705.20391031
1990-03-20 11:47:50.059660,114.508164865878,299801.287331135
1990-03-20 11:47:50.060000,114.143606488358,299755.029051059
1990-03-20 11:47:50.060330,113.656469853144,299731.411441975
1990-03-20 11:47:50.060660,113.275007206897,299729.506845989
1990-03-20 11:47:50.061000,112.794624361398,299621.278295613
1990-03-20 11:47:50.061330,112.365717133451,299601.111604937
1990-03-20 11:47:50.061660,112.032570734019,299635.619423761
1990-03-20 11:47:50.062000,111.6036537423,299645.157452838
1990-03-20 11:47:50.062330,111.249525371657,299681.177226232
1990-03-20 11:47:50.062660,110.760964873421,299708.652961766
1990-03-20 11:47:50.063000,110.283331651871,299486.09916215
1990-03-20 11:47:50.063330,109.901369340955,299436.887795631
1990-03-20 11:47:50.063660,109.387743046476,299373.903860532
1990-03-20 11:47:50.064000,109.001206719423,299379.354027727
1990-03-20 11:47:50.064330,108.631089565501,299531.204256725
1990-03-20 11:47:50.064660,108.211741042976,299400.039772071
1990-03-20 11:47:50.065330,107.725003994556,299429.741521796
1990-03-20 11:47:50.065660,107.327740874011,299369.987444509
1990-03-20 11:47:50.066000,106.929679904118,299473.434580057
1990-03-20 11:47:50.066330,106.489734303603,299535.56454687
1990-03-20 11:47:50.066660,106.067637808893,299611.852242964
1990-03-20 11:47:50.067000,105.648084290461,299446.870139226
1990-03-20 11:47:50.067330,105.205289076966,299553.631848158
1990-03-20 11:47:50.067660,104.77344354378,299565.139089427
1990-03-20 11:47:50.068000,104.358932899599,299534.044751174
1990-03-20 11:47:50.068330,103.9363551292,299566.764370364
1990-03-20 11:47:50.068660,103.565355028385,299499.55469384
1990-03-20 11:47:50.069000,103.113883733511,299475.37636838
1990-03-20 11:47:50.069330,102.724951511003,299588.135994372
1990-03-20 11:47:50.069660,102.261756307751,299529.390836847
1990-03-20 11:47:50.070000,101.849173131357,299681.823026307
1990-03-20 11:47:50.070330,101.439993688698,299394.526965748
1990-03-20 11:47:50.070660,101.035045599472,299499.798539928
1990-03-20 11:47:50.071000,100.621401539683,299339.911768482
1990-03-20 11:47:50.071330,100.207422770191,299471.355602778
1990-03-20 11:47:50.071660,99.8266585722178,299497.608998147
1990-03-20 11:47:50.072000,99.3486356200369,299399.925939338
1990-03-20 11:47:50.072330,98.9132752292547,299385.689392045
1990-03-20 11:47:50.072660,98.5012515072347,299382.441937431
1990-03-20 11:47:50.073000,98.1655862453671,299572.322764525
1990-03-20 11:47:50.073330,97.6403495008631,299368.128323304
1990-03-20 11:47:50.073660,97.2625076236156,299382.213242117
1990-03-20 11:47:50.074000,96.81473751678,299344.046120545
